Feature,Importance
targeted_productivity,0.22855106280523182
incentive,0.11104111003763503
work_complexity,0.09669581888651906
smv,0.07667166314935435
team,0.06947115764109753
no_of_workers,0.06461050649103844
incentive_per_worker,0.05277067547859086
wip_per_worker,0.051550212057124865
quarter_Quarter4,0.02424838733245365
total_time,0.02239803603599384
productive_time,0.02202910566468483
over_time,0.020591129781114773
wip,0.01873335073643132
department_finishing ,0.01849046361336282
worker_utilization,0.011201386451658742
idle_men,0.007528211972751506
no_of_style_change,0.007442210226901702
date_1/14/2015,0.006661129575397827
day_Thursday,0.006514152106228019
quarter_Quarter3,0.00613164804649185
quarter_Quarter2,0.004692572827322423
day_Sunday,0.004602619816482931
quarter_Quarter5,0.00432697985491862
date_2/26/2015,0.0041941155965954935
department_sweing,0.0039005672538372873
idle_time,0.0037865745994685464
day_Wednesday,0.003609912119516599
date_2/2/2015,0.0035565963565583406
date_2/15/2015,0.003216672432688426
date_2/9/2015,0.002526931266795887
date_1/12/2015,0.00252401043292295
day_Saturday,0.0024192767790645804
date_1/31/2015,0.0024010935767460875
date_2/16/2015,0.002370695682460766
date_2/22/2015,0.0023536828955309716
date_1/22/2015,0.0022994313638193945
day_Tuesday,0.002288359594461914
date_2/23/2015,0.0021287259603605
date_3/3/2015,0.001799612063030509
date_1/28/2015,0.0013216335384019816
date_2/14/2015,0.0012856380467744877
date_2/18/2015,0.0011104966531336328
date_3/8/2015,0.0010970256183248882
date_1/20/2015,0.0010871318772369071
date_3/2/2015,0.001035916165145431
date_2/12/2015,0.0009613714061760658
date_1/29/2015,0.0009295018843388307
date_3/1/2015,0.0007500672048299332
date_1/18/2015,0.0006945742794470884
date_1/24/2015,0.0006204794496399606
date_1/27/2015,0.0006011279273321396
date_1/21/2015,0.0006001554836307324
date_1/19/2015,0.0005663252858818466
date_2/19/2015,0.000506171612986116
date_2/4/2015,0.0004389439283630927
date_2/17/2015,0.00043607670383085333
date_3/4/2015,0.0003694742345842398
date_1/25/2015,0.00033695194357934063
date_1/4/2015,0.0002906134591603653
date_2/7/2015,0.00024445649659674397
date_2/1/2015,0.00023535332682695942
date_2/8/2015,0.000229400915705798
date_1/3/2015,0.00022215820005453373
date_2/5/2015,0.0001954688751314736
date_1/15/2015,0.00016767438800310963
date_3/7/2015,0.00013824785368627137
date_3/5/2015,0.00013370758258314587
date_3/9/2015,0.0001306392018984432
date_1/7/2015,0.0001220091256922814
date_1/5/2015,0.00011969968873715595
date_2/25/2015,0.0001172886664390516
date_2/28/2015,0.00011004962390323344
date_2/11/2015,7.962195731898278e-05
date_1/10/2015,7.513280189042166e-05
date_3/10/2015,6.961542954519842e-05
date_3/11/2015,6.741173461136971e-05
date_1/13/2015,6.680705893258478e-05
date_1/8/2015,4.071234667208719e-05
date_1/17/2015,3.530741641102921e-05
date_2/24/2015,2.971204391724433e-05
date_1/11/2015,0.0
date_2/3/2015,0.0
date_1/26/2015,0.0
date_1/6/2015,0.0
date_2/10/2015,0.0
