Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Test_MAE,Test_MAPE,Training_Time
Linear Regression,1.0,1.0,2.7097980321433e-16,3.1442710413047747e-16,2.220446049250313e-16,3.3810263739595986e-14,0.010137081146240234
Ridge,0.9999981535650371,0.9999977781132424,0.00023820315399499946,0.00023617357474952475,0.00017451413316095138,0.02866945105430002,0.0033142566680908203
Gradient Boosting,0.9985317517370247,0.9943449798912324,0.006717075779931433,0.01191481818733952,0.007222832207086144,1.151726530846748,0.20694637298583984
XGBoost,0.9999581855881049,0.9924151690383427,0.001133557348094195,0.013798862785077621,0.0052609381763347625,0.8218295319075385,1.7621817588806152
Decision Tree,1.0,0.9893447271050013,4.1388537586322064e-17,0.01635507844089073,0.005856170487500007,1.0114308734867963,0.009704113006591797
Extra Trees,1.0,0.9883286134746282,3.8006699719083326e-11,0.017117154430255858,0.004175166068833328,0.6736628971526404,0.08408331871032715
Random Forest,0.9977798063995726,0.9867779271302065,0.008259921563908399,0.018218814586919107,0.006460042390633388,1.0980402865051213,0.13367199897766113
LightGBM,0.9923680762146987,0.98452603728308,0.015314312762668893,0.019709296183170362,0.008145250186006188,1.3168904364842673,0.0621027946472168
CatBoost,0.9989591781900964,0.9830328901207973,0.00565546985814387,0.020638317010421063,0.009277861258869709,1.4717078399994663,0.34717726707458496
AdaBoost,0.9248750729660388,0.9035009755805492,0.048047692080946225,0.04921888876826107,0.04035372672310412,5.563821527942777,0.189194917678833
SVR,0.889174768711243,0.832105559777316,0.058357922537604544,0.06492149323293449,0.051551626775361944,7.575914262121895,0.005259990692138672
KNN,0.6924282440673313,0.4014427248630026,0.09721957675950026,0.12258101124067795,0.09046839308083333,15.018104824530926,0.001033782958984375
Lasso,0.0,-0.009668664017384865,0.17529942842056143,0.15920612859065175,0.12335919338985545,19.92074429121951,0.0020139217376708984
ElasticNet,0.0,-0.009668664017384865,0.17529942842056143,0.15920612859065175,0.12335919338985545,19.92074429121951,0.001661539077758789
